name,lat,lon
Bangalore,12.9352,77.6245
Bangalore,12.9719,77.6412
Bangalore,12.9698,77.75
Bangalore,12.9121,77.6446
Bangalore,12.925,77.5938
Mumbai,19.0596,72.8295
Mumbai,19.1364,72.8296
Mumbai,19.1176,72.906
Mumbai,19.1863,72.8493
Mumbai,18.9967,72.83
Pune,18.5362,73.8938
Pune,18.559,73.7868
Pune,18.5074,73.8077
Pune,18.5679,73.9143
Pune,18.5912,73.7389
Thane,19.2506,72.9781
Thane,19.1972,72.9704
Thane,19.2465,72.9781
Thane,19.1918,72.9631
Thane,19.2183,72.9689
Hyderabad,17.4156,78.4347
Hyderabad,17.4325,78.4071
Hyderabad,17.4401,78.3489
Hyderabad,17.4483,78.3915
Hyderabad,17.4615,78.363
Ahmedabad,23.0225,72.5197
Ahmedabad,23.0396,72.529
Ahmedabad,23.033,72.5085
Ahmedabad,23.0089,72.5057
Ahmedabad,23.0341,72.5061
Chennai,13.0012,80.2565
Chennai,13.085,80.2101
Chennai,13.0418,80.2341
Chennai,12.9756,80.2207
Chennai,12.901,80.2279
Gurgaon,28.4947,77.0886
Gurgaon,28.418,77.045
Gurgaon,28.418,77.0975
Gurgaon,28.437,77.1025
Gurgaon,28.478,77.082
Jaipur,26.9124,75.7873
Jaipur,26.8535,75.8064
Jaipur,26.9147,75.7362
Jaipur,26.8505,75.7621
Jaipur,26.8236,75.8419
Surat,21.1449,72.771
Surat,21.1959,72.7844
Surat,21.1791,72.8085
Surat,21.1652,72.7773
Surat,21.1547,72.7891
Noida,28.6273,77.3721
Noida,28.5165,77.391
Noida,28.5697,77.3608
Noida,28.5697,77.326
Noida,28.5779,77.3714
West Delhi,28.6219,77.0878
West Delhi,28.6469,77.1211
West Delhi,28.6733,77.101
West Delhi,28.6738,77.131
West Delhi,28.5921,77.046
Ernakulam,10.0159,76.3419
Ernakulam,9.9646,76.3016
Ernakulam,10.0261,76.3084
Ernakulam,9.9676,76.2963
Ernakulam,9.9694,76.3186
Ghaziabad,28.6461,77.3733
Ghaziabad,28.6469,77.3287
Ghaziabad,28.6982,77.4341
Ghaziabad,28.6564,77.413
Ghaziabad,28.6465,77.3167
Kolkata,22.5809,88.4177
Kolkata,22.5809,88.4655
Kolkata,22.5286,88.3661
Kolkata,22.5185,88.3654
Kolkata,22.5527,88.3517
